global_key,source,job_id,job_url,title,company,company_link,location,country,posted_date,num_applicants,work_mode,employment_type,position,type,compensation,commitment,skills,category_primary,domain_l1,domain_l2,domain_l3,tax_confidence,scraped_at,master_built_at
https://www.jobsnepal.com/field-officer-141381,jobsnepal,141381,https://www.jobsnepal.com/field-officer-141381,Field Officer,Green Nova Consulting Pvt Ltd,https://www.jobsnepal.com/employer/green-nova-consulting-pvt-ltd/477407,Lalitpur,Nepal,2026-02-23,,Remote,Contract,,Contract,,"Soon as Possible Start Date: Soon as Possible 1. Background Novelty Consulting Pvt. Ltd. is engaged in the development, implementation, and management of climate finance and carbon market projects across Nepal. The company works on high-integrity carbon programs including improved cookstoves, water purification systems, biochar carbon removal, biogas installations, agroforestry, and other nature-based and engineered climate solutions. To strengthen field-level implementation, quality assurance, and community coordination, Novelty Consulting Pvt. Ltd. seeks to recruit a dedicated and results-oriented Field Officer. 2. Objective of the Position The Field Officer will support on-the-ground implementation of carbon and climate-related projects, ensuring timely delivery, quality control, community engagement, monitoring, data collection (including DMRV systems), and compliance with technical and environmental standards. The position plays a critical role in maintaining project integrity, field coordination, and ensuring alignment with national policies and international carbon standards (e.g., Gold Standard, Puro.Earth, VCS, Article 6 readiness). 3. Scope of Work and Key Responsibilities A. Project Implementation Support Support installation and deployment of project technologies (e.g., ICS, water purification systems, biogas units, biochar kilns, agroforestry plantations). Coordinate with local contractors, suppliers, CFUGs, municipalities, and beneficiaries. Ensure installations meet technical and quality standards. Assist in pre-installation site assessments and beneficiary selection processes. B. Monitoring, Reporting, and Verification (MRV) Conduct field monitoring and data collection as per project monitoring plans. Support Digital Monitoring, Reporting and Verification (DMRV) systems including use of mobile-based data collection tools (e.g., Kobo, ODK). Maintain accurate records of installations, usage, and beneficiary data. Assist in baseline surveys, endline surveys, and periodic verification exercises. Support third-party validation and verification audits. C. Community Engagement and Capacity Building Facilitate community meetings, awareness sessions, and training programs. Support GESI (Gender Equality and Social Inclusion) integration in field activities. Address beneficiary concerns and provide technical guidance where needed. Coordinate with local governments and community institutions. D. Logistics and Coordination Support logistics planning for equipment delivery and installation. Ensure safe storage and handling of materials and equipment. Maintain inventory records at site level. Provide regular updates to the Project Manager on field progress. E. Documentation and Reporting Prepare weekly and monthly field reports. Document lessons learned, success stories, and field challenges. Capture geo-tagged photos and relevant documentation for compliance and communication purposes. 4. Deliverables Monthly progress reports. Verified installation records and beneficiary database updates. Monitoring data submission as per project requirements. Field visit documentation and compliance checklists. Support documentation for carbon standard registration and verification. 5. Required Qualifications and Experience Education Bachelor’s degree in Environmental Science, Forestry, Agriculture, Engineering, Development Studies, or related field. Diploma holders with strong relevant field experience may be considered. Experience Minimum 2–3 years of field-level experience in climate, energy, forestry, rural development, or related projects. Experience in carbon finance projects (ICS, biogas, biochar, agroforestry, water) is highly desirable. Familiarity with MRV systems and digital data collection tools is an advantage. Skills and Competencies Strong community mobilization and facilitation skills. Basic technical understanding of renewable energy or environmental technologies. Ability to travel extensively to remote locations. Good reporting and documentation skills. Proficiency in Nepali and working knowledge of English. Strong ethical standards and integrity. 6. Performance Criteria Timely and quality completion of installations. Accuracy and completeness of monitoring data. Effective community engagement and stakeholder coordination. Compliance with project technical and safeguard standards. Adherence to reporting timelines. 7. Institutional Arrangements The Field Officer will report directly to the Project Manager and coordinate closely with technical teams, carbon registry experts, and local partners. Regular supervision meetings will be conducted to ensure performance tracking and guidance. 8. Ethical and Safeguard Compliance The Field Officer must: Comply with environmental and social safeguard requirements. Ensure beneficiary protection and informed consent. Adhere to anti-corruption and conflict-of-interest policies. Maintain confidentiality of project data. 9. Remuneration Remuneration will be commensurate with qualifications and experience, in accordance with the salary scale of Novelty Consulting Pvt. Ltd. Candidate can drop application with CV on Email: greennovaconsulting2026@gmail.com Only short-listed candidates will be invited for test interview. Save to favorite Refer to a friend","Bachelor's degree in a related field, Agriculture, Development Project, Development studies, Management, Forestry",Non-IT,Operations,Admin,Other,0.42,2026-02-25 11:48:45.057141,2026-02-25T18:01:32
https://www.jobsnepal.com/rfp-for-web-based-advanced-financial-management-software-141382,jobsnepal,141382,https://www.jobsnepal.com/rfp-for-web-based-advanced-financial-management-software-141382,RFP for Web-based Advanced Financial Management Software,Heifer International Nepal,https://www.jobsnepal.com/employer/heifer-international-nepal/10029,Lalitpur,Nepal,2026-02-23,,,Contract,,Contract,,,"Development Project, Expression of Interests, Tender Notice, Bid",IT,Backend,Node,Express,0.56,2026-02-25 11:48:43.639284,2026-02-25T18:01:32
https://www.jobsnepal.com/tor-for-a-consultant-to-develop-the-farmers-market-school-fms-manual-for-dairy-farmers-and-facilitation-of-training-of-trainers-tot-141383,jobsnepal,141383,https://www.jobsnepal.com/tor-for-a-consultant-to-develop-the-farmers-market-school-fms-manual-for-dairy-farmers-and-facilitation-of-training-of-trainers-tot-141383,TOR for a consultant to Develop the Farmers Market School (FMS) Manual for Dairy Farmers and Facilitation of Training of Trainers (ToT),Heifer Project Nepal,https://www.jobsnepal.com/employer/heifer-project-nepal/11496,Lalitpur,Nepal,2026-02-23,,,Contract,,Contract,,,"Development Project, Expression of Interests, Tender Notice, Bid",Non-IT,Education,Other,Other,0.54,2026-02-25 11:48:42.554270,2026-02-25T18:01:32
https://www.jobsnepal.com/content-creator-141384,jobsnepal,141384,https://www.jobsnepal.com/content-creator-141384,Content Creator,VCorporation,https://www.jobsnepal.com/employer/vcorporation/477410,Kathmandu,Nepal,2026-02-23,,,,,,Rs. - 50000 to 70000 / Month,,Marketing,Non-IT,Marketing,General,Other,0.54,2026-02-25 11:48:41.250428,2026-02-25T18:01:32
https://www.jobsnepal.com/people-and-administration-officer-global-team-141385,jobsnepal,141385,https://www.jobsnepal.com/people-and-administration-officer-global-team-141385,People and Administration Officer (global team),UWS Nepal,https://www.jobsnepal.com/employer/uws-nepal/396893,Kathmandu,Nepal,2026-02-23,,Remote,Full Time,Mid Level,Full Time,,,Human Resources,Non-IT,Operations,Admin,Other,0.66,2026-02-25 11:48:40.353098,2026-02-25T18:01:32
https://www.jobsnepal.com/clinic-incharge-141386,jobsnepal,141386,https://www.jobsnepal.com/clinic-incharge-141386,CLINIC INCHARGE,Samaj Dental,https://www.jobsnepal.com/employer/samaj-dental/441716,Kathmandu,Nepal,2026-02-23,,,Full Time,Junior Level,Full Time,,,"Graduate (Bachelors), Bachelor's in Management, Administrative / Management",Non-IT,Operations,Admin,Other,0.42,2026-02-25 11:48:39.038505,2026-02-25T18:01:32
https://www.jobsnepal.com/tor-for-technical-support-service-on-forest-biomass-based-biofertilizer-production-unit-establishment-and-operation-141387,jobsnepal,141387,https://www.jobsnepal.com/tor-for-technical-support-service-on-forest-biomass-based-biofertilizer-production-unit-establishment-and-operation-141387,TOR for TECHNICAL SUPPORT SERVICE ON FOREST BIOMASS-BASED BIOFERTILIZER PRODUCTION UNIT ESTABLISHMENT AND OPERATION,Heifer International Nepal,https://www.jobsnepal.com/employer/heifer-international-nepal/10029,Lalitpur,Nepal,2026-02-23,,Remote,Contract,,Contract,,,"Development Project, Expression of Interests, Tender Notice, Bid",IT,Backend,Node,Express,0.64,2026-02-25 11:48:37.767353,2026-02-25T18:01:32
https://www.jobsnepal.com/rfq-for-it-equipment-laptop-copier-141388,jobsnepal,141388,https://www.jobsnepal.com/rfq-for-it-equipment-laptop-copier-141388,RFQ for IT equipment (Laptop & Copier),DanChurchAid (DCA),https://www.jobsnepal.com/employer/danchurchaid-dca/8067,Lalitpur,Nepal,2026-02-23,,,Contract,,Contract,,,"Development Project, Expression of Interests, Tender Notice, Bid",Non-IT,Legal,Other,Other,0.42,2026-02-25 11:48:36.354750,2026-02-25T18:01:32
https://www.jobsnepal.com/partnership-manager-141389,jobsnepal,141389,https://www.jobsnepal.com/partnership-manager-141389,Partnership manager,Arukubossystems LLC,https://www.jobsnepal.com/employer/arukubossystems-llc/476922,,Nepal,2026-02-23,,Remote,Full Time,Entry-level,Full Time,Above Rs. 55000 / Month,,"Bachelor's degree completed, Client Servicing Manager",Non-IT,Management,General,Other,0.42,2026-02-25 11:48:35.301242,2026-02-25T18:01:32
https://www.jobsnepal.com/shalbnatha-katashana-aahavanaka-sacana-141390,jobsnepal,141390,https://www.jobsnepal.com/shalbnatha-katashana-aahavanaka-sacana-141390,शिलबन्दी कोटेशन आह्वानको सूचना,Human Resources Center,https://www.jobsnepal.com/employer/human-resources-center/432927,Bajura,Nepal,2026-02-23,,,Contract,,Contract,,,"Development Project, Expression of Interests, Tender Notice, Bid",Non-IT,Legal,Other,Other,0.42,2026-02-25 11:48:34.261264,2026-02-25T18:01:32
https://www.jobsnepal.com/admin-and-finance-associate-141391,jobsnepal,141391,https://www.jobsnepal.com/admin-and-finance-associate-141391,Admin and Finance Associate,Suryodaya Club,https://www.jobsnepal.com/employer/suryodaya-club/454119,Syangja,Nepal,2026-02-24,,Remote,Contract,,Contract,,,"Bachelor's in Management, Administrative / Management, Development Project, Finance & Administration",Non-IT,Operations,Admin,Other,0.54,2026-02-25 11:48:33.069328,2026-02-25T18:01:32
https://www.jobsnepal.com/program-manager-141392,jobsnepal,141392,https://www.jobsnepal.com/program-manager-141392,Program Manager,Suryodaya Club,https://www.jobsnepal.com/employer/suryodaya-club/454119,Syangja,Nepal,2026-02-24,,Remote,Contract,,Contract,,,"Post Graduate / Masters in related field., Administrative / Management, Education, Development Project, NGO/INGO/Social work",Non-IT,Operations,Admin,Other,0.42,2026-02-25 11:48:31.761858,2026-02-25T18:01:32
https://www.jobsnepal.com/business-development-officer-141393,jobsnepal,141393,https://www.jobsnepal.com/business-development-officer-141393,Business Development Officer,Total Management Services Pvt. Ltd.,https://www.jobsnepal.com/employer/total-management-services-pvt-ltd/461563,Kathmandu,Nepal,2026-02-24,,,Full Time,Mid Level,Full Time,Based on experience,,"Bachelor's degree completed, Development Project",Non-IT,Sales,General,Other,0.54,2026-02-25 11:48:30.308947,2026-02-25T18:01:32
https://www.jobsnepal.com/notice-for-motorbike-auction-141394,jobsnepal,141394,https://www.jobsnepal.com/notice-for-motorbike-auction-141394,Notice for Motorbike Auction,Heifer Project Nepal,https://www.jobsnepal.com/employer/heifer-project-nepal/11496,Lalitpur,Nepal,2026-02-24,,,Contract,,Contract,,,"Development Project, Expression of Interests, Tender Notice, Bid",Non-IT,Legal,Other,Other,0.42,2026-02-25 11:48:29.365374,2026-02-25T18:01:32
https://www.jobsnepal.com/osp-coordinator-141395,jobsnepal,141395,https://www.jobsnepal.com/osp-coordinator-141395,OSP Coordinator,HHRD USA Nepal,https://www.jobsnepal.com/employer/hhrd-usa-nepal/439379,Kathmandu,Nepal,2026-02-24,,,Contract,Mid Level,Contract,Based on experience,,"B. A. (Bachelors in Art), Bachelor's degree in Development Studies, Social Science, Business Management, 10+2 in management, Bachelor's Degree in Humanities/Social Work/Education, Development / INGO, NGO/INGO/Social work",Non-IT,Legal,Other,Other,0.42,2026-02-25 11:48:28.009108,2026-02-25T18:01:32
https://www.jobsnepal.com/japanese-language-coordinator-141396,jobsnepal,141396,https://www.jobsnepal.com/japanese-language-coordinator-141396,Japanese Language Coordinator,Shine Education Services Pvt. Ltd.,https://www.jobsnepal.com/employer/shine-education-services-pvt-ltd/457578,Kathmandu,Nepal,2026-02-24,,,Full Time,,Full Time,,,"Bachelor's degree in a related field, Education, Teachers, Instructor",Non-IT,Education,Other,Other,0.54,2026-02-25 11:48:26.438322,2026-02-25T18:01:32
https://www.jobsnepal.com/shalbnatha-katashana-aahavanaka-sacana-141397,jobsnepal,141397,https://www.jobsnepal.com/shalbnatha-katashana-aahavanaka-sacana-141397,शिलबन्दी कोटेशन आह्वानको सूचना,National Environment and Equity Development Society (NEEDS Nepal),https://www.jobsnepal.com/employer/national-environment-and-equity-development-society-needs-nepal/7489,Kanchanpur,Nepal,2026-02-24,,,Contract,,Contract,,,"Development Project, Expression of Interests, Tender Notice, Bid",Non-IT,Operations,Procurement,Other,0.54,2026-02-25 11:48:25.512570,2026-02-25T18:01:32
https://www.jobsnepal.com/technical-coordinator-141398,jobsnepal,141398,https://www.jobsnepal.com/technical-coordinator-141398,Technical Coordinator,Renewable World,https://www.jobsnepal.com/employer/renewable-world/8138,Kathmandu,Nepal,2026-02-24,,,Full Time,,Full Time,,,"Bachelors in Engineering, Masters in Engineering, Technical, Development Project, Engineering",Non-IT,Finance,Tax,,0.54,2026-02-25 11:48:24.448171,2026-02-25T18:01:32
https://www.jobsnepal.com/individual-advocacy-consultant-senior-level-141399,jobsnepal,141399,https://www.jobsnepal.com/individual-advocacy-consultant-senior-level-141399,Individual Advocacy Consultant (Senior Level),BVS-Nepal,https://www.jobsnepal.com/employer/bvs-nepal/6398,Kathmandu,Nepal,2026-02-24,,,Contract,Senior Level,Contract,,"9 Months Contract Type: Consultancy (Deliverable-Based) Application Deadline: 2026 March 9 Background Constitutional provisions and legislative enactment ensure basic health services and emergency health services to be regular, effective, quality-driven, and accessible. At the international level, the Sustainable Development Goals (SDGs) also recognize lifesaving surgical and anesthesia care including in burn care under the Universal Health Coverage component, thereby creating an obligation to expand essential emergency services. Despite national and international provisions, significant gaps remain in the realization of the right to health for burn victims in Nepal. Burn injuries remain a major public health, social, and human rights concern in Nepal, disproportionately affecting women, children, and economically vulnerable communities. Burn survivors often face long-term medical complications, disability, psychosocial trauma, stigma, and economic hardship. Despite these issues, burn prevention, treatment, rehabilitation, and reintegration are insufficiently prioritized within national laws, policies, strategies, and budgetary frameworks. BVS-Nepal works to promote burn prevention and ensure protection, treatment, rehabilitation, and reintegration of burn survivors through a holistic and rights-based approach. To strengthen systemic and sustainable policy change, the organization seeks to engage a highly qualified and experienced Advocacy Consultant to lead strategic, high-level, and result-oriented advocacy initiatives at the national level. Key Advocacy Issues Key advocacy issues related to burn injuries generally focus on prevention, treatment access, long-term recovery, and survivor rights. Discrepancies in the punishment and treatment of burn- and acid-related offenses. Limited access to quality, affordable, and universal burn care services, especially for rural and economically marginalized populations. Weak regulatory oversight and inadequate safety standards in the manufacturing, distribution, storage, and use of fire-hazardous materials and equipment. Hazardous public infrastructure, including mismanaged and exposed electrical wiring, coupled with procedural and legal barriers that hinder victims of electrocution from obtaining compensation. Limited community awareness on burn prevention, safe handling of fire and electrical hazards, and essential first aid management, resulting in complications and delayed treatment. Children are particularly vulnerable to burn injuries, yet burn prevention education is not adequately incorporated into the school curriculum. Purpose of the Consultancy The overall purpose of this consultancy is to design, lead, and implement effective high-level advocacy that results in tangible policy, legal, institutional, and budgetary improvements for burn prevention and burn survivor care in Nepal. The consultancy is expected to contribute to: Increasing the visibility and recognition of burn issues at the national policy and legislative levels. Promoting informed initiatives and stakeholder engagement to strengthen legal and policy frameworks and their implementation concerning burn prevention and survivor support. Facilitating inter-ministerial consultations and dialogue to improve coordination and institutional mechanisms. Facilitating strategic advocacy efforts to guide government budget allocation toward burn prevention and care. Providing strategic inputs and lobbying for law and policy reforms to address gaps in the response to different forms of burn-related violence. Drawing attention to oversight mechanisms, such as National Human Rights Institutions and Parliamentary committees, to mainstream the burn agenda into their actions. Mainstreaming burns related policy reform and implementation agenda within human rights and civil society initiatives. Utilizing the means of strategic advocacy and litigation Scope of Work and Key Responsibilities In close coordination with BVS-Nepal core team, the Advocacy Consultant will be responsible for designing, leading, and implementing strategic, evidence-based, and result-oriented advocacy including: Situational Analysis and Policy Mapping Conduct review of relevant laws, policies, strategies, and action plans. Identify policy gaps, legal barriers, institutional weaknesses, and reform opportunities. Map key stakeholders, decision-making processes, and advocacy entry points. Advocacy Strategy Development Develop a comprehensive advocacy strategy with clear objectives, outcomes, indicators, and timelines. Prepare a detailed 6-month advocacy action plan aligned with organizational priorities. High-Level Policy and Legislative Engagement Plan and support high-level meetings, policy dialogues, and consultations. Engage parliamentarians, ministries, and senior officials to influence policy and legislative processes. Advocate for inclusion and strengthening of burn-related provisions in laws, policies, and national plans. Legal and Policy Advocacy Provide legal and policy analysis to support reform initiatives. Support amendment or development of policies and legal instruments where gaps exist. Position burns issues within broader public health, human rights, disability, and social protection frameworks. Advocate for increased and sustained government budget allocation. Prepare policy briefs, position papers, advocacy notes, and talking points. Advocate for increased and sustained government budget allocation. Results Monitoring, Documentation, and Reporting Define measurable advocacy indicators. Document advocacy engagements, commitments, and policy outcomes. Submit monthly progress updates and a comprehensive final consultancy report. Advisory and Capacity Support Provide strategic advice to strengthen internal advocacy capacity. Mentor relevant staff where appropriate. Provide recommendations to sustain advocacy efforts beyond the consultancy period. Required Qualifications and Experience Education Bachelor's or Master’s degree in Law. Professional Experience Minimum 7–10 years of proven experience in result-oriented advocacy preferably in legal and policy reform. Demonstrated track record of influencing laws, policies, or government decisions. Strong experience engaging with parliamentarians, senior government officials, and ministries. In-depth understanding of Nepal’s legal, policy, and governance systems. Experience in health, injury prevention, human rights, or social sector advocacy is an added advantage. Skills and Competencies Excellent strategic advocacy and negotiation skills. Strong legal and policy analysis and drafting abilities. Excellent writing and communication skills in Nepali and English. Ability to work independently and deliver results within a short timeframe. Strong professionalism, integrity, discretion, and political sensitivity. Application Requirements Interested candidates are requested to submit: 1. Updated Curriculum Vitae (CV) 2. Prior policy influence documents and publications 3. Proposal outlining: Understanding of burn issues in Nepal Proposed advocacy approach and strategy Key target stakeholders and advocacy entry points Detailed work plan with deliverables Expected results and indicators Budget Breakdown Application Submission Interested and qualified candidates are requested to complete the Google Form Here with accurate and complete information. Only shortlisted applicants will be contacted for the interview. Only shortlisted candidates will be contacted for interview. BVS-Nepal is an equal opportunity organization and encourages applications from qualified professionals committed to policy reform, social justice, and evidence-based advocacy. Save to favorite Refer to a friend","Masters in Law, Bachelors in Law, Development Project, Law",Non-IT,Legal,,,0.78,2026-02-25 11:48:23.122652,2026-02-25T18:01:32
https://www.jobsnepal.com/program-director-pd-141400,jobsnepal,141400,https://www.jobsnepal.com/program-director-pd-141400,Program Director (PD),Aafanta Nepal,https://www.jobsnepal.com/employer/aafanta-nepal/421594,Lalitpur,Nepal,2026-02-24,,,Contract,,Contract,,,"Excellent facilitation skills, with the ability to lead trainings, workshops, and high-level stakeholder engagements effectively. Strong expertise in entrepreneurship development, business coaching, market linkage, and livelihood promotion, especially for survivor-led enterprises. Proven experience managing multi-district and donor-funded programs. Strong leadership in supervising multidisciplinary and field-based teams. Demonstrated expertise in survivor-centered and trauma-informed care and rehabilitation approaches. In-depth understanding of human trafficking, GBV, migration, child protection, and safeguarding standards in Nepal. Excellent proposal writing skills, including successful development of funding proposals. Proven ability in donor cultivation and relationship management at both national and international levels. Strong advocacy, networking, and stakeholder engagement skills. Experience coordinating with government agencies, NGOs/INGOs, and development partners. Excellent planning, reporting, documentation, and communication skills. Ability to integrate Gender Equality and Social Inclusion (GESI) principles into program design and implementation. High level of integrity, accountability, confidentiality, and ethical practice. Strong analytical, organizational, and problem-solving skills. Proficiency in Microsoft Word, Excel, and PowerPoint. Ability to work independently and effectively within diverse, cross-cultural team environments. Strong commitment to social justice, survivor empowerment, and the vision, mission, and values of Aafanta Nepal. Interested candidates who meet the above criteria are invited to submit their updated CV along with a Letter of Interest no later than 4 March 2026, before 2:00 PM, to the following address: HR Department Aafanta Nepal (KIN Nepal) Email: jobs.kinnepal@gmail.com Only shortlisted candidates will be contacted for further selection procedures. Aafanta Nepal reserves the right to accept or reject any application, or to cancel the recruitment process at any stage, if deemed necessary. Save to favorite Refer to a friend",Non-IT,Operations,Admin,,0.9,2026-02-25 11:48:21.752774,2026-02-25T18:01:32
https://www.jobsnepal.com/architect-and-civil-engineer-141401,jobsnepal,141401,https://www.jobsnepal.com/architect-and-civil-engineer-141401,Architect and Civil Engineer,Bela Nepal Industries,https://www.jobsnepal.com/employer/bela-nepal-industries/419393,Kathmandu,Nepal,2026-02-24,,On-site,Full Time,Mid Level,Full Time,Based on experience,,"B.E. in Architecture, Bachelor's in Civil Engineer, Construction Services",Non-IT,Engineering,Civil,,0.9,2026-02-25 11:48:20.448590,2026-02-25T18:01:32
https://www.jobsnepal.com/communication-officer-141402,jobsnepal,141402,https://www.jobsnepal.com/communication-officer-141402,Communication Officer,Maiti Nepal,https://www.jobsnepal.com/employer/maiti-nepal/6353,Kathmandu,Nepal,2026-02-24,,,Contract,,Contract,,,"Bachelors in Mass Comm. and Journalism, Bachelor's degree in a related field, Bachelor’s Degree in Media and Communications, Development Project, Mass Communication/Journalism",Non-IT,Marketing,Social,,0.78,2026-02-25 11:48:19.117964,2026-02-25T18:01:32
https://www.jobsnepal.com/project-focal-person-maiti-nepal-head-office-141403,jobsnepal,141403,https://www.jobsnepal.com/project-focal-person-maiti-nepal-head-office-141403,Project Focal Person – Maiti Nepal Head Office,Maiti Nepal,https://www.jobsnepal.com/employer/maiti-nepal/6353,Kathmandu,Nepal,2026-02-24,,,Full Time,,Full Time,,,"B.S.W. (Bachelors in Social Work), M.S.W. (Masters in Social Work), Bachelors in Psychology, Masters in Psychology, Masters in Gender studies, Bachelors in Gender studies, Development Project, Counseling / PsychoSocial, NGO/INGO/Social work",Non-IT,Operations,Admin,,0.66,2026-02-25 11:48:18.053015,2026-02-25T18:01:32
https://www.jobsnepal.com/education-coordinator-and-administrative-head-141404,jobsnepal,141404,https://www.jobsnepal.com/education-coordinator-and-administrative-head-141404,Education Coordinator and Administrative Head,Maiti Nepal,https://www.jobsnepal.com/employer/maiti-nepal/6353,Kathmandu,Nepal,2026-02-24,,,Contract,,Contract,,,"B. Ed. (Education), M. Ed. (Education), B.S.W. (Bachelors in Social Work), M.S.W. (Masters in Social Work), Education, Development Project, NGO/INGO/Social work",Non-IT,Operations,Supply Chain,,0.9,2026-02-25 11:48:16.989373,2026-02-25T18:01:32
